Unnamed: 0,source_text,plagiarized_text,label,text_join
243,The Great Barrier Reef is a UNESCO World Heritage site.,A UNESCO World Heritage site is the Great Barrier Reef.,1,great barrier reef unesco world heritage site unesco world heritage site great barrier reef
244,Julius Caesar was a Roman general and statesman.,A Roman general and statesman was Julius Caesar.,1,julius caesar roman general statesman roman general statesman julius caesar
245,Albert Einstein was awarded the Nobel Prize in Physics in 1921.,"In 1921, the Nobel Prize in Physics was awarded to Albert Einstein.",1,albert einstein awarded nobel prize physic 1921 1921 nobel prize physic awarded albert einstein
246,The Earth's atmosphere consists of 78% nitrogen.,78% of the Earth's atmosphere consists of nitrogen.,1,earth atmosphere consists 78 nitrogen 78 earth atmosphere consists nitrogen
247,The Leaning Tower of Pisa is located in Italy.,Italy is home to the Leaning Tower of Pisa.,1,leaning tower pisa located italy italy home leaning tower pisa
248,The Amazon Rainforest produces 20% of the world's oxygen.,20% of the world's oxygen is produced by the Amazon Rainforest.,1,amazon rainforest produce 20 world oxygen 20 world oxygen produced amazon rainforest
249,The Earth revolves around the Sun in 365 days.,"In 365 days, the Earth revolves around the Sun.",1,earth revolves around sun 365 day 365 day earth revolves around sun
250,Venus has a surface covered with volcanoes and lava plains.,Volcanoes and lava plains cover the surface of Venus.,1,venus surface covered volcano lava plain volcano lava plain cover surface venus
251,Sharks have multiple rows of teeth.,Multiple rows of teeth are possessed by sharks.,1,shark multiple row teeth multiple row teeth possessed shark
252,The human eye can distinguish approximately 10 million colors.,About 10 million colors can be distinguished by the human eye.,1,human eye distinguish approximately 10 million color 10 million color distinguished human eye
254,"Mount Everest's summit reaches an altitude of 29,032 feet.","An altitude of 29,032 feet is reached by Mount Everest's summit.",1,mount everest summit reach altitude 29032 foot altitude 29032 foot reached mount everest summit
255,The Milky Way contains billions of stars.,Billions of stars are contained in the Milky Way.,1,milky way contains billion star billion star contained milky way
256,Shakespeare's 'Romeo and Juliet' is a tragedy.,A tragedy is Shakespeare's 'Romeo and Juliet'.,1,shakespeare romeo juliet tragedy tragedy shakespeare romeo juliet
257,"The Pacific Ocean has an average depth of 12,080 feet.","12,080 feet is the average depth of the Pacific Ocean.",1,pacific ocean average depth 12080 foot 12080 foot average depth pacific ocean
258,Saturn is known for its prominent ring system.,A prominent ring system characterizes Saturn.,1,saturn known prominent ring system prominent ring system characterizes saturn
259,The Amazon River discharges more water than any other river.,More water is discharged by the Amazon River than any other.,1,amazon river discharge water river water discharged amazon river
260,The Earth's magnetic field protects us from solar wind.,Solar wind is deflected by the Earth's magnetic field.,1,earth magnetic field protects u solar wind solar wind deflected earth magnetic field
261,Albert Einstein was a theoretical physicist.,A theoretical physicist was Albert Einstein.,1,albert einstein theoretical physicist theoretical physicist albert einstein
262,Sharks are apex predators in the ocean.,"In the ocean, apex predators include sharks.",1,shark apex predator ocean ocean apex predator include shark
263,Mount Everest's height increases due to tectonic activity.,Tectonic activity causes an increase in Mount Everest's height.,1,mount everest height increase due tectonic activity tectonic activity cause increase mount everest height
264,Venus is the second planet from the Sun.,The second planet from the Sun is Venus.,1,venus second planet sun second planet sun venus
265,DNA is a double-helix structure.,A double-helix structure describes DNA.,1,dna doublehelix structure doublehelix structure describes dna
266,Thomas Edison was a prolific inventor.,A prolific inventor was Thomas Edison.,1,thomas edison prolific inventor prolific inventor thomas edison
267,The Great Wall of China can be seen from space.,"From space, the Great Wall of China is visible.",1,great wall china seen space space great wall china visible
268,The Pacific Ocean's name means 'peaceful ocean'.,The name of the Pacific Ocean means 'peaceful ocean'.,1,pacific ocean name mean peaceful ocean name pacific ocean mean peaceful ocean
269,The Milky Way is part of the Local Group of galaxies.,The Local Group of galaxies includes the Milky Way.,1,milky way part local group galaxy local group galaxy includes milky way
270,Saturn's largest moon is Titan.,Titan is Saturn's largest moon.,1,saturn largest moon titan titan saturn largest moon
272,The Great Barrier Reef is located off the coast of Australia.,Off the coast of Australia is the Great Barrier Reef.,1,great barrier reef located coast australia coast australia great barrier reef
273,Venus has a day longer than its year.,A day on Venus is longer than its year.,1,venus day longer year day venus longer year
274,Sharks have been around for over 400 million years.,"For over 400 million years, sharks have existed.",1,shark around 400 million year 400 million year shark existed
275,The human brain is protected by the skull.,The skull protects the human brain.,1,human brain protected skull skull protects human brain
276,Albert Einstein's theory of relativity revolutionized physics.,Physics was revolutionized by Albert Einstein's theory of relativity.,1,albert einstein theory relativity revolutionized physic physic revolutionized albert einstein theory relativity
277,DNA carries genetic information.,Genetic information is carried by DNA.,1,dna carry genetic information genetic information carried dna
281,Innovation drives the economy forward.,The economy progresses through innovation.,0,innovation drive economy forward economy progress innovation
282,Education is the key to personal growth.,Personal growth hinges on education.,0,education key personal growth personal growth hinge education
283,Nature walks can be very relaxing.,Walking in nature is a great way to relax.,0,nature walk relaxing walking nature great way relax
284,Healthy relationships are built on trust.,Trust is the foundation of healthy relationships.,0,healthy relationship built trust trust foundation healthy relationship
285,Creative hobbies can reduce stress.,Engaging in creative hobbies lowers stress levels.,0,creative hobby reduce stress engaging creative hobby lower stress level
286,Technology connects people globally.,People around the world are connected by technology.,0,technology connects people globally people around world connected technology
287,Reading enhances cognitive abilities.,Cognitive skills are improved by reading.,0,reading enhances cognitive ability cognitive skill improved reading
288,Travel exposes you to new experiences.,New experiences come from traveling.,0,travel expose new experience new experience come traveling
289,Volunteering gives a sense of fulfillment.,A sense of fulfillment is gained through volunteering.,0,volunteering give sense fulfillment sense fulfillment gained volunteering
290,Listening to music can boost your mood.,Your mood can be lifted by listening to music.,0,listening music boost mood mood lifted listening music
291,Reading regularly improves vocabulary.,Vocabulary is improved through regular reading.,0,reading regularly improves vocabulary vocabulary improved regular reading
292,Traveling broadens cultural understanding.,Cultural understanding is broadened by traveling.,0,traveling broadens cultural understanding cultural understanding broadened traveling
293,Music can uplift one's mood.,One's mood can be uplifted by music.,0,music uplift one mood one mood uplifted music
294,Healthy relationships contribute to happiness.,Happiness is increased by healthy relationships.,0,healthy relationship contribute happiness happiness increased healthy relationship
295,Hobbies can reduce stress levels.,Stress levels are reduced by engaging in hobbies.,0,hobby reduce stress level stress level reduced engaging hobby
296,Regular check-ups maintain health.,Health is maintained through regular check-ups.,0,regular checkup maintain health health maintained regular checkup
297,Exercise boosts mental health.,Mental health is boosted by exercise.,0,exercise boost mental health mental health boosted exercise
298,Creative writing fosters imagination.,Imagination is fostered by creative writing.,0,creative writing foster imagination imagination fostered creative writing
299,Public speaking skills are valuable.,Valuable skills include public speaking.,0,public speaking skill valuable valuable skill include public speaking
300,Cooking at home can be healthier.,Healthier meals can be made by cooking at home.,0,cooking home healthier healthier meal made cooking home
301,Social interactions can enhance well-being.,Well-being is enhanced by social interactions.,0,social interaction enhance wellbeing wellbeing enhanced social interaction
302,Learning history helps us avoid past mistakes.,Past mistakes are avoided by learning history.,0,learning history help u avoid past mistake past mistake avoided learning history
303,Nature walks can be rejuvenating.,Rejuvenation can be found in nature walks.,0,nature walk rejuvenating rejuvenation found nature walk
304,Good financial habits lead to security.,Financial security is achieved through good habits.,0,good financial habit lead security financial security achieved good habit
305,Writing regularly can improve clarity of thought.,Clarity of thought is improved by regular writing.,0,writing regularly improve clarity thought clarity thought improved regular writing
306,Strong leadership inspires others.,Others are inspired by strong leadership.,0,strong leadership inspires others others inspired strong leadership
307,Cultural diversity enriches communities.,Communities are enriched by cultural diversity.,0,cultural diversity enriches community community enriched cultural diversity
308,Mindfulness practices improve focus.,Focus is improved by mindfulness practices.,0,mindfulness practice improve focus focus improved mindfulness practice
309,Positive feedback boosts confidence.,Confidence is boosted by positive feedback.,0,positive feedback boost confidence confidence boosted positive feedback
310,Scientific research drives innovation.,Innovation is driven by scientific research.,0,scientific research drive innovation innovation driven scientific research
311,Studying regularly improves academic performance.,Academic performance improves with regular studying.,0,studying regularly improves academic performance academic performance improves regular studying
312,A balanced diet promotes overall health.,Overall health is promoted by a balanced diet.,0,balanced diet promotes overall health overall health promoted balanced diet
313,Meditation helps in reducing stress.,Stress is reduced by practicing meditation.,0,meditation help reducing stress stress reduced practicing meditation
314,Team sports build cooperation skills.,Cooperation skills are built through team sports.,0,team sport build cooperation skill cooperation skill built team sport
315,A good night's sleep enhances productivity.,Productivity is enhanced by a good night's sleep.,0,good night sleep enhances productivity productivity enhanced good night sleep
316,Recycling conserves natural resources.,Natural resources are conserved through recycling.,0,recycling conserve natural resource natural resource conserved recycling
317,Reading fiction enhances creativity.,Creativity is enhanced by reading fiction.,0,reading fiction enhances creativity creativity enhanced reading fiction
318,Volunteering increases community engagement.,Community engagement is increased through volunteering.,0,volunteering increase community engagement community engagement increased volunteering
319,Learning a new language improves cognitive abilities.,Cognitive abilities are improved by learning a new language.,0,learning new language improves cognitive ability cognitive ability improved learning new language
320,Practicing gratitude boosts mental health.,Mental health is boosted by practicing gratitude.,0,practicing gratitude boost mental health mental health boosted practicing gratitude
321,Proper hydration is essential for bodily functions.,Bodily functions rely on proper hydration.,0,proper hydration essential bodily function bodily function rely proper hydration
322,Artistic activities can be therapeutic.,Therapy can be found in artistic activities.,0,artistic activity therapeutic therapy found artistic activity
323,Regular exercise strengthens the immune system.,The immune system is strengthened by regular exercise.,0,regular exercise strengthens immune system immune system strengthened regular exercise
324,Financial literacy leads to better money management.,Better money management is a result of financial literacy.,0,financial literacy lead better money management better money management result financial literacy
325,Spending time outdoors enhances well-being.,Well-being is enhanced by spending time outdoors.,0,spending time outdoors enhances wellbeing wellbeing enhanced spending time outdoors
326,Time management skills improve efficiency.,Efficiency is improved by time management skills.,0,time management skill improve efficiency efficiency improved time management skill
327,Gardening can be a relaxing hobby.,Relaxation can be found in gardening.,0,gardening relaxing hobby relaxation found gardening
328,Historical knowledge provides valuable insights.,Valuable insights are gained from historical knowledge.,0,historical knowledge provides valuable insight valuable insight gained historical knowledge
329,Physical activity reduces the risk of chronic diseases.,The risk of chronic diseases is reduced by physical activity.,0,physical activity reduces risk chronic disease risk chronic disease reduced physical activity
330,Effective communication strengthens relationships.,Relationships are strengthened by effective communication.,0,effective communication strengthens relationship relationship strengthened effective communication
331,Yoga improves flexibility and balance.,Flexibility and balance are improved by yoga.,0,yoga improves flexibility balance flexibility balance improved yoga
332,Good hygiene practices prevent illness.,Illness is prevented by good hygiene practices.,0,good hygiene practice prevent illness illness prevented good hygiene practice
333,Critical thinking enhances problem-solving abilities.,Problem-solving abilities are enhanced by critical thinking.,0,critical thinking enhances problemsolving ability problemsolving ability enhanced critical thinking
334,Listening to music can be relaxing.,Relaxation can be achieved by listening to music.,0,listening music relaxing relaxation achieved listening music
335,Gardening provides a sense of accomplishment.,A sense of accomplishment is found in gardening.,0,gardening provides sense accomplishment sense accomplishment found gardening
336,Learning new skills boosts self-confidence.,Self-confidence is boosted by learning new skills.,0,learning new skill boost selfconfidence selfconfidence boosted learning new skill
337,Spending time with loved ones improves mental health.,Mental health is improved by spending time with loved ones.,0,spending time loved one improves mental health mental health improved spending time loved one
338,Reading non-fiction enhances knowledge.,Knowledge is enhanced by reading non-fiction.,0,reading nonfiction enhances knowledge knowledge enhanced reading nonfiction
339,Playing board games can improve strategic thinking.,Strategic thinking is improved by playing board games.,0,playing board game improve strategic thinking strategic thinking improved playing board game
340,Practicing mindfulness reduces anxiety.,Anxiety is reduced by practicing mindfulness.,0,practicing mindfulness reduces anxiety anxiety reduced practicing mindfulness
341,Cooking can be a creative outlet.,Creativity can be expressed through cooking.,0,cooking creative outlet creativity expressed cooking
342,Traveling expands one's perspective.,Perspectives are expanded through traveling.,0,traveling expands one perspective perspective expanded traveling
343,Writing in a journal clarifies thoughts.,Thoughts are clarified by writing in a journal.,0,writing journal clarifies thought thought clarified writing journal
344,Swimming is an excellent full-body workout.,A full-body workout can be achieved through swimming.,0,swimming excellent fullbody workout fullbody workout achieved swimming
345,Reading to children supports their development.,Children's development is supported by reading to them.,0,reading child support development childrens development supported reading
346,Cycling is a great form of cardiovascular exercise.,Cardiovascular health benefits from cycling.,0,cycling great form cardiovascular exercise cardiovascular health benefit cycling
347,Public speaking can enhance leadership skills.,Leadership skills are enhanced by public speaking.,0,public speaking enhance leadership skill leadership skill enhanced public speaking
348,Photography encourages observation and creativity.,Observation and creativity are encouraged by photography.,0,photography encourages observation creativity observation creativity encouraged photography
349,Playing musical instruments enhances coordination.,Coordination is enhanced by playing musical instruments.,0,playing musical instrument enhances coordination coordination enhanced playing musical instrument
350,Meditation can improve concentration.,Concentration is improved by meditation.,0,meditation improve concentration concentration improved meditation
351,Hiking connects people with nature.,Nature connections are made through hiking.,0,hiking connects people nature nature connection made hiking
352,Learning to code develops logical thinking.,Logical thinking is developed by learning to code.,0,learning code develops logical thinking logical thinking developed learning code
353,Reading science fiction stimulates imagination.,Imagination is stimulated by reading science fiction.,0,reading science fiction stimulates imagination imagination stimulated reading science fiction
354,Knitting can be a soothing activity.,Soothing effects can be found in knitting.,0,knitting soothing activity soothing effect found knitting
355,Attending workshops facilitates skill development.,Skill development is facilitated by attending workshops.,0,attending workshop facilitates skill development skill development facilitated attending workshop
356,Gardening teaches patience and persistence.,Patience and persistence are taught through gardening.,0,gardening teach patience persistence patience persistence taught gardening
357,Using planners can enhance organizational skills.,Organizational skills are enhanced by using planners.,0,using planner enhance organizational skill organizational skill enhanced using planner
358,Walking daily improves cardiovascular health.,Cardiovascular health is improved by walking daily.,0,walking daily improves cardiovascular health cardiovascular health improved walking daily
359,Painting allows for creative expression.,Creative expression is allowed through painting.,0,painting allows creative expression creative expression allowed painting
360,Learning history provides context for the present.,Context for the present is provided by learning history.,0,learning history provides context present context present provided learning history
361,Exercising outdoors can boost mood.,Mood is boosted by exercising outdoors.,0,exercising outdoors boost mood mood boosted exercising outdoors
362,Listening actively improves communication.,Communication is improved by active listening.,0,listening actively improves communication communication improved active listening
363,Playing chess enhances strategic thinking.,Strategic thinking is enhanced by playing chess.,0,playing chess enhances strategic thinking strategic thinking enhanced playing chess
364,Practicing gratitude fosters a positive mindset.,A positive mindset is fostered by practicing gratitude.,0,practicing gratitude foster positive mindset positive mindset fostered practicing gratitude
365,Volunteering creates a sense of community.,A sense of community is created through volunteering.,0,volunteering creates sense community sense community created volunteering
366,Creative hobbies can alleviate stress.,Stress is alleviated by engaging in creative hobbies.,0,creative hobby alleviate stress stress alleviated engaging creative hobby
367,Writing essays improves argumentative skills.,Argumentative skills are improved by writing essays.,0,writing essay improves argumentative skill argumentative skill improved writing essay
368,Keeping a journal can enhance self-awareness.,Self-awareness is enhanced by keeping a journal.,0,keeping journal enhance selfawareness selfawareness enhanced keeping journal
369,Dancing improves physical fitness.,Physical fitness is improved by dancing.,0,dancing improves physical fitness physical fitness improved dancing
370,Reading biographies offers life lessons.,Life lessons are offered by reading biographies.,0,reading biography offer life lesson life lesson offered reading biography
371,Mindfulness meditation enhances emotional regulation.,Emotional regulation is enhanced by mindfulness meditation.,0,mindfulness meditation enhances emotional regulation emotional regulation enhanced mindfulness meditation
372,Playing team sports builds camaraderie.,Camaraderie is built through playing team sports.,0,playing team sport build camaraderie camaraderie built playing team sport
373,Gardening provides physical exercise.,Physical exercise is provided by gardening.,0,gardening provides physical exercise physical exercise provided gardening
374,Learning a musical instrument can be fulfilling.,Fulfillment can be found in learning a musical instrument.,0,learning musical instrument fulfilling fulfillment found learning musical instrument
375,Playing strategy games develops critical thinking.,Critical thinking is developed by playing strategy games.,0,playing strategy game develops critical thinking critical thinking developed playing strategy game
376,Attending seminars broadens knowledge.,Knowledge is broadened by attending seminars.,0,attending seminar broadens knowledge knowledge broadened attending seminar
377,Painting can be a meditative activity.,Meditation can be found in painting.,0,painting meditative activity meditation found painting
378,Journaling can be a therapeutic activity.,Therapy can be found in journaling.,0,journaling therapeutic activity therapy found journaling
379,Socializing reduces feelings of loneliness.,Feelings of loneliness are reduced by socializing.,0,socializing reduces feeling loneliness feeling loneliness reduced socializing
380,Cooking from scratch promotes healthier eating.,Healthier eating is promoted by cooking from scratch.,0,cooking scratch promotes healthier eating healthier eating promoted cooking scratch
381,Gardening teaches responsibility and care.,Responsibility and care are taught through gardening.,0,gardening teach responsibility care responsibility care taught gardening
382,Practicing yoga improves mental clarity.,Mental clarity is improved by practicing yoga.,0,practicing yoga improves mental clarity mental clarity improved practicing yoga
383,Photography captures memories.,Memories are captured through photography.,0,photography capture memory memory captured photography
384,Reading improves language skills.,Language skills are improved by reading.,0,reading improves language skill language skill improved reading
385,Learning about different cultures enhances empathy.,Empathy is enhanced by learning about different cultures.,0,learning different culture enhances empathy empathy enhanced learning different culture
386,Practicing mindfulness reduces stress.,Stress is reduced by practicing mindfulness.,0,practicing mindfulness reduces stress stress reduced practicing mindfulness
387,Regular exercise improves physical health.,Physical health is improved by regular exercise.,0,regular exercise improves physical health physical health improved regular exercise
388,Listening to music can elevate mood.,Mood is elevated by listening to music.,0,listening music elevate mood mood elevated listening music
389,Gardening provides a connection to nature.,A connection to nature is provided by gardening.,0,gardening provides connection nature connection nature provided gardening
390,Writing essays enhances research skills.,Research skills are enhanced by writing essays.,0,writing essay enhances research skill research skill enhanced writing essay
391,Volunteering builds a sense of purpose.,A sense of purpose is built through volunteering.,0,volunteering build sense purpose sense purpose built volunteering
392,Swimming provides a full-body workout.,A full-body workout is provided by swimming.,0,swimming provides fullbody workout fullbody workout provided swimming
393,Cycling improves cardiovascular health.,Cardiovascular health is improved by cycling.,0,cycling improves cardiovascular health cardiovascular health improved cycling
394,Cooking at home promotes family bonding.,Family bonding is promoted by cooking at home.,0,cooking home promotes family bonding family bonding promoted cooking home
395,Learning history helps understand societal development.,Societal development is understood by learning history.,0,learning history help understand societal development societal development understood learning history
396,Reading fiction improves empathy.,Empathy is improved by reading fiction.,0,reading fiction improves empathy empathy improved reading fiction
397,Playing musical instruments enhances creativity.,Creativity is enhanced by playing musical instruments.,0,playing musical instrument enhances creativity creativity enhanced playing musical instrument
398,Studying history helps in understanding the present.,Understanding the present is aided by studying history.,0,studying history help understanding present understanding present aided studying history
399,Listening to classical music can improve focus.,Focus is improved by listening to classical music.,0,listening classical music improve focus focus improved listening classical music
400,Practicing yoga enhances physical flexibility.,Physical flexibility is enhanced by practicing yoga.,0,practicing yoga enhances physical flexibility physical flexibility enhanced practicing yoga
401,Volunteering fosters community spirit.,Community spirit is fostered by volunteering.,0,volunteering foster community spirit community spirit fostered volunteering
